step,t,n_alive,mean_knowledge,max_knowledge,mean_wisdom,mean_love,mean_hatred,mean_loyalty,mean_health,mean_anger,n_clusters,largest_cluster,polarization,hate_density,mean_mass,mean_gamma,mean_speed,kinetic_proxy
0.0,0.0,8000.0,0.1399490232610457,0.15752532331168148,0.0,0.3498805034483235,0.17493112065503577,0.3499904643906441,0.39989155760380785,0.17498551977615748,1.0,8000.0,0.0022014250735027945,0.1779632052806007,0.6226556242456082,1.0,0.0,0.0
25.0,0.5000000000000001,8000.0,0.13994900889853856,0.15704530253915386,0.07499903109305785,0.49065538441267054,0.04108476349781939,0.5678608691621218,0.40140671940740696,0.17062788077005678,1.0,8000.0,0.02982328235865284,0.09863623931498877,0.6227082739398057,1.0000463452542676,0.06328808197361024,0.0018463759934416119
50.0,1.0000000000000004,8000.0,0.13994899370835007,0.15657840758681452,0.14998514932856205,0.6191466601614238,0.007475964935635649,0.7759015097611243,0.404200656243407,0.16830772312948927,1.0,8000.0,0.015596050057382042,0.05192498833228977,0.6228621657763022,1.0003868911442921,0.1830258760916788,0.015403388291446054
75.0,1.5000000000000009,8000.0,0.1399489786414555,0.15613072661072583,0.2249210938506057,0.7359806456537225,0.0024184770928760576,0.9302438712646875,0.4078136300513985,0.1691738439669023,1.0,8000.0,0.00968919384012862,0.04374066405672729,0.6231172597718193,1.0014491598547146,0.35420451854539203,0.05755160756484465
100.0,2.0000000000000013,8000.0,0.13994896617724964,0.15572103090876557,0.29972947287268314,0.8490656888756271,0.002249176520751612,0.9645315631247652,0.4119049711788238,0.17587499539015572,1.0,8000.0,0.009386390677071988,0.0484985723938473,0.6234734393632179,1.0039062599148314,0.584999717276274,0.15418828385035957
125.0,2.5000000000000018,8000.0,0.1399489573420191,0.15535597397176154,0.37425701571573333,0.9073875499136949,0.002578544819100865,0.9911800109219857,0.4162453187278585,0.1996922783705042,1.0,8000.0,0.011580335587157929,0.05151941390995104,0.6239304377737048,1.009397891584005,0.91295527372926,0.3657713883224702
150.0,3.000000000000002,8000.0,0.13994895157647405,0.1550291447018209,0.44813556489636486,0.944550015154094,0.003522382147375269,0.9931753743575167,0.42048872230144346,0.28481613239982634,1.0,8000.0,0.016758558959157597,0.08342348740454597,0.6244876553727515,1.0229143508725778,1.4336833665109494,0.8608438106019047
175.0,3.5000000000000027,8000.0,0.13994892631342434,0.15449971574599888,0.5204407284908471,0.9747565362670034,0.006399706401582897,0.9945044442226799,0.4240386126131115,0.5408986371630173,1.0,8000.0,0.0389619377662881,0.11008945784691805,0.6251436597053515,1.05954886268374,2.2514766445583927,1.9944028577125033
200.0,4.000000000000003,8000.0,0.13994890116084796,0.15129962886902354,0.5901721407691038,0.9772490177090463,0.011404177286851756,0.9961289460406968,0.4261733576583814,0.7895863394403655,1.0,7993.0,0.0783261298454497,0.13879968719452973,0.6258954577813733,1.107799361167576,2.894562080018306,3.0967343305400474
225.0,4.499999999999992,8000.0,0.13994876440658388,0.14859709232967622,0.657910219799329,0.9704736300811523,0.023472996869247788,0.9985300365592721,0.4273975484300875,0.8927803453453703,1.0,7992.0,0.13668135998226105,0.10541101774149494,0.6267399612332765,1.1392157318284108,3.343636782736989,4.038567597798891
250.0,4.999999999999981,8000.0,0.1399486900498158,0.14766057500268423,0.7228254015893765,0.9647041267341392,0.03322782171319926,0.99945644406676,0.4278355545560316,0.9555890588498088,1.0,7989.0,0.17445315560214517,0.11538461538461539,0.6276741236829555,1.2348679211428717,3.9014542188327437,5.501864228612464
275.0,5.499999999999971,8000.0,0.13994859127802864,0.14624016865825984,0.7841795688815671,0.9623530047033578,0.03714396983556702,0.9995921067926697,0.42736012051064626,0.9885355967370525,1.0,7982.0,0.1877340105224071,0.5000844453342079,0.6286934128453582,1.3870773498197733,4.355716127248457,6.818669998465334
300.0,5.99999999999996,8000.0,0.13994850429789385,0.1452765160994704,0.839227348101218,0.9616902625924266,0.03789828606946842,0.9995923314585293,0.4243971698755124,0.9991228431226298,1.0,7972.0,0.1903345577742994,0.9982358563326708,0.6297921678278848,2.5297251618690453,5.631813554565891,11.035687936152069
